Alpha-Numeric Code ,Station name ,Opening ,Construction names ,Abbreviation,,
 NS1  EW24  ,Jurong East ,裕廊东 ,ஜூரோங் கிழக்கு ,10 March 1990 ,Jurong East ,JUR
 NS2  ,Bukit Batok ,武吉巴督 ,புக்கிட் பாத்தோக் ,10 March 1990 ,Bukit Batok South ,BBT
 NS3  ,Bukit Gombak ,武吉甘柏 ,புக்கிட் கோம்பாக் ,10 March 1990 ,Bukit Batok North ,BGB
 NS4  BP1  ,Choa Chu Kang ,蔡厝港 ,சுவா சூ காங் ,10 March 1990 ,Choa Chu Kang ,CCK
 NS5  ,Yew Tee ,油池 ,இயூ டீ ,10 February 1996 ,Choa Chu Kang North ,YWT
 NS6  ,Reserved Station ,,,,,
 NS7  ,Kranji ,克兰芝 ,கிராஞ்சி ,10 February 1996 ,Kranji ,KRJ
 NS8  ,Marsiling ,马西岭 ,மார்சிலிங் ,10 February 1996 ,Woodlands West ,MSL
 NS9  TE2  ,Woodlands ,兀兰 ,ஊட்லண்ட்ஸ் ,10 February 1996 ,Woodlands Central ,WDL
 NS10  ,Admiralty ,海军部 ,அட்மிரல்ட்டி ,10 February 1996 ,Woodlands East ,ADM
 NS11  ,Sembawang ,三巴旺 ,செம்பாவாங் ,10 February 1996 ,Sembawang ,SBW
 NS12  ,Canberra ,坎贝拉 ,கான்பரா ,2019,Canberra ,TBA
 NS13  ,Yishun ,义顺 ,யீஷூன் ,20 December 1988 ,Nee Soon North ,YIS
 NS14  ,Khatib ,卡迪 ,காதிப் ,20 December 1988 ,Nee Soon South ,KTB
 NS15  ,Yio Chu Kang ,杨厝港 ,இயோ சூ காங் ,7 November 1987 ,Yio Chu Kang ,YCK
 NS16  ,Ang Mo Kio ,宏茂桥 ,அங் மோ கியோ ,7 November 1987 ,Ang Mo Kio ,AMK
 NS17  CC15  ,Bishan ,碧山 ,பீஷான் ,7 November 1987 ,"Kampong San Teng, San Teng ",BSH
 NS18  ,Braddell ,布莱德 ,பிரேடல் ,7 November 1987 ,Braddell ,BDL
 NS19  ,Toa Payoh ,大巴窑 ,தோ பாயோ ,7 November 1987 ,Toa Payoh ,TAP
 NS20  ,Novena ,诺维娜 ,நொவீனா ,12 December 1987 ,Thomson ,NOV
 NS21  DT11  ,Newton ,纽顿 ,நியூட்டன் ,12 December 1987 ,Newton Circus ,NEW
 NS22  TE14  ,Orchard ,乌节 ,ஆர்ச்சர்ட் ,12 December 1987 ,"Scotts, Orchard Boulevard ",ORC
 NS23  ,Somerset ,索美塞 ,சாமர்செட் ,12 December 1987 ,Killiney ,SOM
 NS24  NE6  CC1  ,Dhoby Ghaut ,多美歌 ,டோபி காட் ,12 December 1987 ,The Istana ,DBG
 NS25  EW13  ,City Hall ,政府大厦 ,நகர மண்டபம் ,12 December 1987 ,Saint Andrew's ,CTH
 NS26  EW14  ,Raffles Place ,莱佛士坊 ,ராஃபிள்ஸ் பிளேஸ் ,12 December 1987 ,Central ,RFP
 NS27  CE2  TE20  ,Marina Bay ,滨海湾 ,மரீனா பே ,4 November 1989 ,"Telok Ayer Basin, Marina South ",MRB
 NS28  ,Marina South Pier ,滨海南码头 ,மரினா சவுத் படகுத்துறை ,23 November 2014 ,"Marina View, Marina Pier ",MSP
 EW1  ,Pasir Ris ,巴西立 ,பாசிர் ரிஸ் ,16 December 1989 ,Pasir Ris ,PSR
 EW2  DT32  ,Tampines ,淡滨尼 ,தெம்பினிஸ் ,16 December 1989 ,Tampines North ,TAM
 EW3  ,Simei ,四美 ,ஸீமெய் ,16 December 1989 ,Tampines South ,SIM
 EW4  CG  ,Tanah Merah ,丹那美拉 ,தானா மேரா ,4 November 1989 ,"Bedok, Changi ",TNM
 EW5  ,Bedok ,勿洛 ,பிடோக் ,4 November 1989 ,Chai Chee ,BDK
 EW6  ,Kembangan ,景万岸 ,கெம்பாங்கான் ,4 November 1989 ,Frankel ,KEM
 EW7  ,Eunos ,友诺士 ,யூனுஸ் ,4 November 1989 ,Eunos ,EUN
 EW8  CC9  ,Paya Lebar ,巴耶利峇 ,பாய லேபார் ,4 November 1989 ,Paya Lebar ,PYL
 EW9  ,Aljunied ,阿裕尼 ,அல்ஜூனிட் ,4 November 1989 ,Aljunied ,ALJ
 EW10  ,Kallang ,加冷 ,காலாங் ,4 November 1989 ,Geylang ,KAL
 EW11  ,Lavender ,劳明达 ,லவண்டர் ,4 November 1989 ,Crawford ,LVR
 EW12  DT14  ,Bugis ,武吉士 ,பூகிஸ் ,4 November 1989 ,"Rochore, Victoria ",BGS
 EW13  NS25  ,City Hall ,政府大厦 ,நகர மண்டபம் ,12 December 1987 ,Saint Andrew's ,CTH
 EW14  NS26  ,Raffles Place ,莱佛士坊 ,ராஃபிள்ஸ் பிளேஸ் ,12 December 1987 ,Central ,RFP
 EW15  ,Tanjong Pagar ,丹戎巴葛 ,தஞ்சோங் பகார் ,12 December 1987 ,Maxwell ,TPG
 EW16  NE3  TE17  ,Outram Park ,欧南园 ,ஊட்ரம் பார்க் ,12 December 1987 ,Outram Park ,OTP
 EW17  ,Tiong Bahru ,中峇鲁 ,தியோங் பாரு ,12 March 1988 ,Tiong Bahru ,TIB
 EW18  ,Redhill ,红山 ,ரெட்ஹில் ,12 March 1988 ,Alexandra ,RDH
 EW19  ,Queenstown ,女皇镇 ,குவீன்ஸ்டவுன் ,12 March 1988 ,"Princess, Commonwealth ",QUE
 EW20  ,Commonwealth ,联邦 ,காமன்வெல்த் ,12 March 1988 ,Queenstown ,COM
 EW21  CC22  ,Buona Vista ,波那维斯达 ,புவன விஸ்தா ,12 March 1988 ,North Buona Vista ,BNV
 EW22  ,Dover ,杜弗 ,டோவெர் ,18 October 2001 ,Polytechnic ,DVR
 EW23  ,Clementi ,金文泰 ,கிளிமெண்டி ,12 March 1988 ,Clementi ,CLE
 EW24  NS1  ,Jurong East ,裕廊东 ,ஜூரோங் கிழக்கு ,5 November 1988 ,"Jurong, Jurong Town ",JUR
 EW25  ,Chinese Garden ,裕华园 ,சீனத் தோட்டம் ,5 November 1988 ,Jurong Lake ,CNG
 EW26  ,Lakeside ,湖畔 ,ஏரிக்கரை ,5 November 1988 ,Corporation ,LKS
 EW27  ,Boon Lay ,文礼 ,பூன் லே ,6 July 1990 ,Jurong West ,BNL
 EW28  ,Pioneer ,先驱 ,பயனியர் ,28 February 2009 ,Pioneer ,PNR
 EW29  ,Joo Koon ,裕群 ,ஜூ கூன் ,28 February 2009 ,Joo Koon ,JKN
 EW30  ,Gul Circle ,卡尔圈 ,கல் சர்க்கிள் ,Q2 2017[2] ,Tuas ,GCL
 EW31  ,Tuas Crescent ,大士弯 ,துவாஸ் கிரசன்ட் ,Q2 2017 ,Tuas Crescent ,TBA
 EW32  ,Tuas West Road ,大士西路 ,துவாஸ் வெஸ்ட் ரோடு ,Q2 2017 ,Tuas West ,TBA
 EW33  ,Tuas Link ,大士连路 ,துவாஸ் லிங்க் ,Q2 2017 ,Tuas Link ,TBA
 CG1  DT35  ,Expo ,博览 ,எக்ஸ்போ ,10 January 2001 ,Somapah ,XPO
 CG2  ,Changi Airport ,樟宜机场 ,சாங்கி விமானநிலையம் ,8 February 2002 ,Changi Airport ,CGA
 NE1  CC29  ,HarbourFront ,港湾 ,துறைமுகம் ,20 June 2003 ,World Trade Centre ,HBF
 NE2  ,Reserved Station ,,,,,
 NE3  EW16  TE17  ,Outram Park ,欧南园 ,ஊட்ரம் பார்க் ,20 June 2003 ,Outram Park ,OTP
 NE4  DT19  ,Chinatown ,牛车水 ,சைனாடவுன் ,20 June 2003 ,People's Park ,CNT
 NE5  ,Clarke Quay ,克拉码头 ,கிளார்க் கீ ,20 June 2003 ,Clarke Quay ,CQY
 NE6  NS24  CC1  ,Dhoby Ghaut ,多美歌 ,டோபி காட் ,20 June 2003 ,Dhoby Ghaut ,DBG
 NE7  DT12  ,Little India ,小印度 ,லிட்டில் இந்தியா ,20 June 2003 ,Kandang Kerbau ,LTI
 NE8  ,Farrer Park ,花拉公园 ,ஃபேரர் பார்க் ,20 June 2003 ,Farrer Park ,FRP
 NE9  ,Boon Keng ,文庆 ,பூன் கெங் ,20 June 2003 ,Boon Keng ,BNK
